,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
128,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0.39314969529233934,0.6068503047076608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,0.47084101127733774,0.3318068286752148,0.19735216004744713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,0.001120355681222219,0.5104772045704751,0.2771013479592526,0.21130109178905013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,0.01557905403675764,0.3726164482486295,0.33476530259112425,0.12316855982278335,0.1538706353007052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,0.031802821021183605,0.28164247991784375,0.3003247121163026,0.1621716814014747,0.13999687875095812,0.08406142679223737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,0.057274437354657155,0.2640444659600545,0.25284157916003486,0.15768291962490466,0.13168178922535737,0.07602364206852366,0.06045116660646797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,0.09796583341403162,0.3017512373098972,0.0785178679288839,0.1377256234288869,0.09741915457919192,0.11866335093806149,0.03418514532488323,0.13377178707616377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,0.07729593714134048,0.28424406364721394,0.13736242370858578,0.08994566180142728,0.12302474511440088,0.10925419854146225,0.018876953980433778,0.10481407595669526,0.05518194010844033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,0.07013334522620568,0.23000135678164724,0.1456974314520825,0.06775112037693302,0.10877987765629911,0.14167136633476962,0.0341101132581011,0.0982861816701988,0.03833451520386918,0.06523469203989389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408,0.07206421526874558,0.22031295570928486,0.13769691949041618,0.0715717516907955,0.10277105175053738,0.14041722853381966,0.03715714205592378,0.10184745718793957,0.0416082895950845,0.06308229385091509,0.011470694866538001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,0.06212157255006622,0.14744377953965523,0.11327095587566614,0.08677500576156962,0.10636565830049977,0.09884374763021594,0.0472450778739462,0.11616378936084217,0.05145476610661037,0.05612469702537785,0.01559521830567139,0.09859573166987945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,0.06111413077202082,0.12723386445338397,0.09761935554680587,0.08541308683290698,0.09751372522406437,0.08801442074855485,0.05519546195519003,0.11386997285859149,0.05888273520245356,0.05470816871732435,0.014083495427574129,0.08032434081591397,0.06602724144521574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,0.05360985677773259,0.09627447567799884,0.12429144363395801,0.16810904472751093,0.12431812244678554,0.1156759542907503,0.07702230601202889,0.044956720069053845,0.033882567926035605,0.01775688590901758,0.007908998291049562,0.01259311026747521,0.016369285510852965,0.10723122845975036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,0.07612034317754796,0.17413987466799505,0.07245290448576974,0.14370475710134356,0.11935010618234888,0.07208941982543059,0.06869649662935046,0.06123133837134505,0.039947415131591966,0.011120278380227548,0.01089559549001051,0.018117377885488,0.014689115926912555,0.047604983719885606,0.06983999302475268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,0.06087076394003847,0.13736675017809652,0.044178610588395784,0.13210761920051045,0.11922426824371356,0.09336528860683567,0.06961466877852168,0.04455653420114042,0.05962431743985783,0.01098584568453674,0.01893562164917687,0.030350256210594007,0.0211684913198103,0.021281939943255102,0.04081498542874952,0.09555403858676687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176,0.06627469947712836,0.07595173874906351,0.059842166154797996,0.07310999691463624,0.07550320169620067,0.07951860099235418,0.06744958703407733,0.05723030133817162,0.06996158385553275,0.042275424676934494,0.046219162719670595,0.05425510437318305,0.049729045066419196,0.051727723544411894,0.005650509310466394,0.058771165055771075,0.06652998904118063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2304,0.0662643312291638,0.07875433551009851,0.05869201125782221,0.06801854744795909,0.07436011494079871,0.08232696090884929,0.06580059501867032,0.06507919167023817,0.062472829284787985,0.040321033997511996,0.043923496523484144,0.05388521815889922,0.04461128379028587,0.043129902539392806,0.007487862863141804,0.04451476127323523,0.047040072831482704,0.053317450754177785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,0.05933025986556438,0.07260646401756762,0.057690879934201404,0.06154485294595315,0.07318854704743145,0.07037145428589406,0.0649424166591705,0.06488153527930891,0.06616294855175338,0.04986513979757427,0.04044470285244775,0.04486707418893327,0.044167726725673616,0.041587923031364334,0.011605124320615952,0.04996665652166425,0.03526598916691276,0.03314218536797677,0.058368119439991734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,0.05400950498788971,0.059910778904994653,0.0490380574202665,0.056075294417942574,0.0764205303240309,0.05517700375677383,0.059561815586391044,0.06506505940106408,0.07357881680497212,0.05509297298959404,0.03686441432914066,0.04766483371852675,0.04233328354008513,0.038735578386114265,0.012934897099678752,0.05456435375980632,0.035593604439504045,0.033500690615874816,0.038367983064948125,0.05551052645240157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688,0.053851034745005716,0.054182602196698286,0.05292578605310736,0.057263644423895484,0.07342940260472326,0.04834318817268518,0.0601077556984173,0.06572747155315654,0.07739907854711901,0.06190074592217286,0.0385643000009528,0.03774412488467476,0.03431051060519482,0.03554522600053772,0.010976989474677885,0.06830535658363686,0.041117229516880044,0.03466757769545955,0.001956489457264304,0.04010329395311486,0.05157819191062518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816,0.05462978789818642,0.053523199379526355,0.049159311946808094,0.0608626126370357,0.07319290677009303,0.04634296396623248,0.057487363967673795,0.064734590578144,0.08120969070051784,0.06674094149077804,0.03673988054464069,0.03776518440668086,0.03393916154887647,0.037422645244167045,0.011238017534130342,0.06889779051675336,0.0408989472946085,0.03376145342648535,0.0020864561439220995,0.03640118295448897,0.04817175207473616,0.004794158975513791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2944,0.05147454549857221,0.049002230034607006,0.05026783984742721,0.060554878851665515,0.06584619335890732,0.04125352809255038,0.056947266080812436,0.06288204612020559,0.07839177272161478,0.06795111851263373,0.03470962516048969,0.03407068716037545,0.028038770943346187,0.03386003581454812,0.013092471371711765,0.07090374534089494,0.0404521364344496,0.03166407644610176,0.0029280738526601888,0.03184799318789967,0.03799141103181886,0.004168790972597191,0.051700763164110215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3072,0.049542214444267915,0.04476887881924904,0.0477839474124051,0.06084198550997605,0.06282730885256194,0.0377799640118759,0.052461917317900744,0.061880913211537644,0.08065964084584004,0.06841372681445707,0.03194066059189358,0.030922033505589943,0.026815670543651863,0.03150066995354231,0.01530782349309169,0.0681085462489784,0.04127290433514878,0.032647283403448746,0.0030099672009917472,0.029339080269081805,0.03300960029365688,0.004011549523108624,0.044648738579901565,0.04050497481784268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,0.04557310542787024,0.042656785052770076,0.050590979839683976,0.05718672081271722,0.05855762599417105,0.03341033353465684,0.047634481985470864,0.06143890316641163,0.0870908814559648,0.0755865408297539,0.030171419124604904,0.027417050629747662,0.026768014242285885,0.03139394038524263,0.01799547778789935,0.06131391753128732,0.035533784817724894,0.028872160734588537,0.003224424985248519,0.02667491304580336,0.03151797473416283,0.003791055292857653,0.0399814944246983,0.03368663193848553,0.04193138222589198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3328,0.04552501194093045,0.03933390715377327,0.04519919408393055,0.05335544415448507,0.057368834176565464,0.030576625811237646,0.043628030304955996,0.05718558324262415,0.0762612058599214,0.06775784157717514,0.032909558973646,0.03179494749202514,0.037101576657652666,0.03548030753374478,0.01823930068168752,0.060224632202921256,0.03542774166048158,0.027714243429603092,0.0034232270153133904,0.023588291657753113,0.026601460350381783,0.0033693608556388498,0.03656337318179438,0.025619792797251406,0.029181569443865504,0.05656893776063978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456,0.04514111173377854,0.04068286698861362,0.04642505832511832,0.051553038992924405,0.0530411870571717,0.030904291591562976,0.044851678174015946,0.06031542952117757,0.06857289067309362,0.05827826868862411,0.031872380601797604,0.030006412510150283,0.035958206731392675,0.039214378823813435,0.018320613444890155,0.06067261512670773,0.035035576470063945,0.029233489589981818,0.0035827584140017675,0.025580234620329944,0.030104175933959993,0.003401548389475014,0.038854408945143866,0.02643192598603824,0.03075634584414629,0.048738397224235334,0.012470709597791197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
