,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
128,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0.39314969529233934,0.6068503047076608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,3.2250576152049896e-07,2.238118387333322e-18,0.9999996774942385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,0.7106444389522335,0.024266777257915706,0.006068230915458258,0.25902055287439246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,0.5482407431177008,1.390457820116285e-06,0.058282612319261115,0.20617446202259432,0.18730079208262365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,0.4873060521475379,6.168686621330019e-05,0.08232243742575882,0.19079381944147764,0.16124694292984915,0.07826906118916317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,0.35682612967295535,0.20516593733117955,0.11230964566096198,0.06684310967838529,1.1431885034480694e-05,0.0252595099491162,0.23358423582236715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,0.18933853911200071,0.25503650911633235,0.207040900698553,0.003942923713350283,0.013135799470993893,0.0036097896911149335,0.139839065292783,0.1880564729048721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,0.18633344270584,0.2661824404230484,0.21612917283423258,0.0028897687716722413,0.021545658248570982,0.003093945563917942,0.12531024723513984,0.1624993263476483,0.016015997869930066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,0.1889132681466393,0.2737764410000005,0.2005132702559603,0.0014132351463308375,0.035414011868121965,0.001275870959664604,0.0012419949619848622,0.10793060473423512,0.012689447073765767,0.1768318558532968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408,0.18669780362427846,0.2732660260695725,0.20263994568146246,0.0010447107199342979,0.037139582303771186,0.0009864913274487456,0.0013372354647077263,0.10950520931417503,0.008118188840618898,0.16943289577855863,0.009831910875472373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,0.131618613741344,0.3207072897006951,0.18337874286799627,0.0002822779990234125,0.02718087828875623,0.00032295383424078513,0.013831837073637533,0.04424099274013845,0.00547774775913984,0.11432863889923364,0.005682314732504986,0.15294771236328972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,0.1388540046711282,0.2037903137345202,0.19434542335105887,0.013125433091025533,0.019054245835624737,0.014159628186463807,0.11466263144572586,0.0999530307969986,0.0009923165858208099,0.0038471411896331123,0.0010620042769795691,0.0039810146754766865,0.19217281215954418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,0.1148928105395913,0.12187316563252064,0.21574589908436537,0.03610240760236669,0.03996544754302375,0.03874940830633918,0.08296964391684929,0.07937823195540411,0.009893989891218197,0.030897474664457247,0.010968282464925278,0.02775108210926008,0.13321532688854482,0.05759682940113407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,0.08276784131810098,0.050655109384344,0.09151157885889791,0.08254580667385471,0.0704385078907693,0.08935313477682268,0.044302608845018195,0.04552107361632718,0.03272131727892136,0.061197152940145376,0.03439624475701461,0.051808784228110014,0.04914602643722886,0.036258258784704255,0.1773765542097404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,0.08007707952493481,0.05055218551040899,0.08869236985934772,0.08293641571766897,0.07193833388910403,0.08999965039669854,0.043538766776911014,0.04545845823926534,0.03298160968753122,0.062114145666495146,0.034746708394541304,0.0526541371418711,0.050407801270840574,0.02197488710595761,0.16614787591616703,0.025779574902257227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176,0.07813985865960853,0.050654127044246655,0.08750491765796804,0.08308264717325313,0.07295298351740036,0.0901578267987134,0.043152711343645386,0.045651455139210324,0.03334366988628429,0.06264839018774743,0.03514409436622875,0.05321519007395878,0.05161075954126954,0.0158062726934319,0.15720166719999762,0.0183969795705449,0.02133644914649093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2304,0.07581753712925955,0.05068573672490383,0.0847675554234548,0.08345742598094144,0.07444430672902044,0.09037800529842194,0.04304177524787709,0.04632734725660533,0.034171317444183856,0.062257993984942875,0.03594585121946044,0.053410732754945164,0.05260015337257616,0.013053180681729016,0.14692810096567216,0.016792044599754988,0.018168471476159718,0.01775246371009158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,0.07386689031125855,0.050220591699760654,0.0818616447960474,0.0845025342956167,0.0748420412587913,0.09132008559390359,0.043381534226580996,0.048787708986483276,0.034254042254137834,0.061604464735408454,0.03595622316605651,0.052445775710595714,0.05299188835344537,0.012450508322694261,0.13853067944726652,0.015470180501884095,0.016699608965310926,0.01636965121467328,0.014443946160084107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,0.07318655717059418,0.0466284320828477,0.08261279868799841,0.07984164713964424,0.07430160083084394,0.08811370284855335,0.04278043671192935,0.053129468919531964,0.034356225927803304,0.05928138887155697,0.036185314475647795,0.05242636929839992,0.05069145963624263,0.014393794775168828,0.1299629241039865,0.01577570851808175,0.017475189024623583,0.016718504001485144,0.014433389844135381,0.017705087130924786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688,0.06587357426234686,0.06279956064506319,0.08810448456758307,0.05224989003766092,0.06491388269241924,0.05748910555115214,0.05570736068308219,0.048224470349130105,0.06425168068288743,0.044488160249217756,0.016315036528596182,0.03157489269380669,0.07138947264451385,0.035179815858787884,0.08200801732561762,0.009026171272777652,0.010167962779582998,0.010182887514214171,0.006428919918950618,0.032274142481963954,0.09135051126064568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816,0.06419525176743712,0.06156372165448174,0.09484095545815896,0.04896816765893839,0.05460078478847579,0.054125799980581625,0.05358916405959038,0.04274759927618257,0.0728912325199903,0.0394063474652651,0.01763210273185691,0.030190426448971873,0.0670142325905454,0.0355576196427502,0.08538821267351168,0.00882233243252866,0.0100276986329386,0.009939545568786077,0.006509629769598593,0.027914583707491183,0.09292854300609754,0.02114604816582154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2944,0.06274069374854208,0.05291476887903861,0.10357187356917756,0.048571924987251304,0.04900305997490702,0.05434809924371179,0.045305776075950106,0.03816936932270583,0.07454026993527749,0.03595196734864308,0.021003805424572437,0.02904035310559643,0.07939614305010922,0.03684559626524463,0.08261997331157597,0.0086417470196205,0.009766646710273911,0.009615600833021222,0.006088130829371207,0.02713853567130527,0.07492961256231472,0.015354158707613547,0.03444189342417638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3072,0.05915761404516736,0.041486794319207224,0.09147954980135321,0.05132078663202318,0.03835571304863789,0.057188514136144813,0.04956332780001421,0.0393752749565793,0.07437265417815103,0.05205706913199182,0.016178707542100438,0.03172738263126561,0.06623966910099868,0.06405760518308469,0.0706613563090688,0.01163899932023255,0.013064801525329298,0.012945045901135476,0.009268165421948898,0.016234539212392044,0.05893688172310774,0.01041238941945374,0.022762575076313074,0.04151458358429826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,0.057494722724687364,0.03995712245960676,0.09349426196357728,0.05061969220390207,0.03478720027148506,0.056145398545896494,0.046623231324705805,0.03884684724141796,0.07213871736097861,0.05735460190659218,0.0172481900715639,0.03196710551970033,0.06098723569866793,0.07042059262106777,0.06520848663223973,0.013192763958998755,0.014746896598301092,0.014638318237437744,0.010783079043351304,0.014982918028128752,0.05257380507319585,0.010167840878028675,0.020805928490579967,0.02655353357416503,0.028261509571723697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3328,0.05625434136562353,0.039917347081204875,0.09304540107876794,0.05065317951090989,0.03290033307947691,0.055923517372807624,0.04539312512116612,0.03801726747348123,0.07136654170038964,0.05950002578035795,0.01818691008766813,0.03186519369738707,0.056858238904265876,0.07435526530665762,0.060936999375042405,0.014064929294260075,0.015694706259995667,0.015554397032943163,0.011792982378180036,0.015540280110098705,0.05239970625638509,0.009500306134484776,0.01996633989682007,0.02081666471757055,0.02262137343415417,0.016874627549900968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456,0.05503132733476513,0.03926049151025688,0.09294383611265196,0.05013062762731203,0.031588504500047236,0.05500617317463739,0.0441595699590386,0.03800556295586615,0.07001807838370423,0.06219044395508386,0.018924911197943654,0.03232852430335797,0.0544296333499727,0.07686478150213048,0.058022362047389725,0.015118016758613684,0.01678852876264719,0.016674048184747093,0.012928181196913646,0.015032993698636478,0.04849358511454263,0.009546576414971523,0.01915935492259643,0.016921182277282336,0.01806838562864386,0.014212026618790747,0.018152292507456737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
