,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
128,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0.46404296016048274,0.5359570398395171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,0.4747905171363579,0.47479069140945623,0.05041879145418583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,0.4677559115497243,0.4746335215340568,0.05321021314554755,0.004400353770671359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,0.165170802664259,0.0051859079826059844,0.1982412599540938,0.019186955144002864,0.6122150742550386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,0.08812025079103616,0.04126452409556548,0.025294796017785344,0.33235152779420574,0.00085336484970956,0.5121155364516976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,0.3938182854668097,0.10076079534688787,0.0009179780392346929,0.08671446251018763,0.1418198120617893,0.13937933945975478,0.13658932711533608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,0.07697261323780862,0.18017118800327298,0.12715396260737952,0.07119666073871003,0.1309671016528995,0.15146886150063193,0.10433558315824303,0.15773402910105433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,0.07008326798693182,0.11393017462923605,0.1288087438425904,0.058917918020643376,0.12922887918301798,0.15472096014898523,0.13042268288851744,0.12960607761001444,0.08428129569006303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,0.09240427042443775,0.07482486151967291,0.11354568573742042,0.06915298124470305,0.10386149693601716,0.15487798399446875,0.09297293257490588,0.15067300053761162,0.07149754341570132,0.07618924361506141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408,0.13398474349913442,0.014819480418223918,0.0768380289351332,0.11948585852062006,0.07748246745971167,0.10837034016657485,0.05258428482895384,0.14683520108038972,0.11045056694277883,0.004415343256409996,0.15473368489206907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,0.07022787574035967,0.11211539351517862,0.08667651338729708,0.0974618747533619,0.14143144791475334,0.11720122162697307,0.10859853316225337,0.08415901007062693,0.10019600319955589,0.0019275598681939739,0.0025282453613725293,0.07747632140007411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,0.06624294849901445,0.12024224277446825,0.08946190022361508,0.09704200250646657,0.13909177994678645,0.1124750530872601,0.08650341620075498,0.08668408938564122,0.1147991497075742,0.0028637788401413883,0.0037455686109739202,0.07470961394174075,0.00613845627556304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,0.06138168801005847,0.0791681692031115,0.07443101803063401,0.07822612101891636,0.11521055851036717,0.10745883074969605,0.06782847298690466,0.1054728164811427,0.0995998250042289,0.04107749612480644,0.05865384891141117,0.007819715730916244,0.008562022939967197,0.09510941629783895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,0.05639051669226672,0.07871274809714077,0.06844419625469479,0.06870235904799192,0.09824804862357926,0.10153092383990812,0.0672720459000145,0.08855984274894413,0.08091007888895298,0.04017273053594812,0.05714061964731516,0.013989400610337746,0.0121979404732192,0.08121990915356675,0.08650863948611973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,0.059555859075622296,0.061380268811116453,0.06798366997598825,0.07036960296744721,0.07939037577324452,0.09379942252136386,0.07712645065652132,0.07762073989934976,0.06918062514840072,0.03644602733486345,0.052737240376671504,0.014597088423547778,0.013336803158945084,0.0739902445496163,0.06326291979222125,0.08922266153508063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176,0.05993587049377946,0.05727684754308063,0.07319594866418397,0.06693915535498156,0.0757790033065685,0.08788294453719682,0.07867587767293666,0.0843562384048196,0.04996133925737839,0.030940211880289656,0.046275793783492225,0.01676038020540523,0.01309964945870448,0.07152954059071188,0.055881957639832586,0.0625997374452095,0.06890950376142795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2304,0.05582548108097022,0.06382349044497246,0.0679312610048449,0.06907750085665186,0.08045666886345615,0.08571430444718822,0.06622318145587497,0.10023990282994806,0.01812308262182942,0.022222735331898807,0.040543641106370085,0.020566952203444632,0.015725313305250687,0.08977612483240104,0.07906717341752696,0.023459676159250296,0.0681542096174583,0.03306930042066352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,0.05792056253138255,0.06274276979004353,0.060348630043964104,0.07131402402201054,0.07911761638679023,0.07408587907107549,0.0863369344468764,0.10709356670868751,0.01920200979770725,0.023031945068792435,0.03817199866035156,0.01850911642423816,0.013608103346643896,0.09756670406289784,0.0649184733506231,0.021710210136973426,0.06362700877275532,0.029622391560947155,0.011072055817239553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,0.05664925891876089,0.06334122740457573,0.05378305830560825,0.0720415741148268,0.08181359594502456,0.07427079715174979,0.08480854063181037,0.11086791806094687,0.028084197631157357,0.018881002512321162,0.03232892413561135,0.021006859293157897,0.01761329465803395,0.10553693166814676,0.07047913977793117,0.017406826795299306,0.02920803967729801,0.023259380673619035,0.012080810255622026,0.026538622388499737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688,0.06000916140212277,0.07094776221106706,0.05961794137775915,0.07619896551122042,0.10064826775842843,0.08284424426065781,0.061117215772390834,0.12900075992286442,0.014216815693216872,0.01773874388468852,0.032079469974305386,0.017889815808657554,0.01884127512677843,0.13068600530801713,0.02078059697714955,0.016538033327393356,0.0116114406911365,0.020233237530919646,0.01105280596057404,0.02337381514701092,0.024573626353640778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816,0.0587587823278634,0.06936112846077383,0.0577513415381259,0.07480083657251616,0.0966059751417066,0.07849823360608538,0.05978439891846253,0.13164072945927863,0.01497965096789984,0.015534030806481303,0.027589338408068084,0.018946768339187486,0.01963830955107043,0.1344997558452665,0.021954410533389493,0.017364668801316572,0.012081860297999182,0.01740084311987314,0.01043715980678951,0.020361505144456234,0.021418957344262572,0.02059131500912754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2944,0.05808653810654918,0.07167452873208245,0.055697660281630784,0.07377812854433793,0.09298942822212754,0.0740396259901043,0.05575940435383113,0.14094526428612206,0.016333818171938526,0.01372305594832901,0.023891004467376614,0.01959965788043667,0.020764516960442087,0.11799116427059,0.0237334204222769,0.019773034002752793,0.013277500945217346,0.011184352122135236,0.010891668640154442,0.01255225343841224,0.020267425696745597,0.01848857482277536,0.034557973693631734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3072,0.054407723029808126,0.06936745313191876,0.052636689499902314,0.06884922107922427,0.08919824721344694,0.07069410299768081,0.05213777053947641,0.13338499454080258,0.01623656721994994,0.013516537348828381,0.022392288896224126,0.01760186842909033,0.017377307071255996,0.11100818475620422,0.023615844668185233,0.01954084207233625,0.013663522580354933,0.011257589594393007,0.011591573291623967,0.01253469203604973,0.019698395528639053,0.017922916150365054,0.03158797251588204,0.049777695808356746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,0.05503576932545567,0.06491552586415344,0.05655282087058862,0.058878562586082143,0.07398590971318793,0.07141630269480972,0.06472499780786849,0.09634935714928498,0.011295319371959992,0.03353023221678357,0.04072787570526766,0.01004117188426254,0.012691905511174576,0.07135371072557868,0.013765971344554694,0.008457812412920816,0.008064689724187822,0.012639089260868907,0.010633254114564958,0.01540499015930952,0.028175652686333416,0.03049002982793012,0.031795265267143526,0.004732223288481358,0.1143415604872473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3328,0.053043593224538575,0.05949808450965154,0.05609975651709042,0.05411090745442819,0.06569157728988965,0.06818585176987405,0.064823800718389,0.08924950065220599,0.008529505755493745,0.035205501732567916,0.03778952470751628,0.025205453232109636,0.01690668033394932,0.06198198692843625,0.011982129492432827,0.00562932802166241,0.009836687738761823,0.016436349589597905,0.012218928339758775,0.020213197372298885,0.03108397773653619,0.033100483569319335,0.029238302852067743,0.003321162555308605,0.1006337597302216,0.029983968175893615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456,0.050594814782578816,0.05416734329485099,0.052792783884244326,0.05049077229049295,0.06203257107856877,0.0636422727181039,0.06275599621857049,0.08667374419805166,0.008958954441915254,0.03494496223669803,0.03807938366633181,0.03142038628170781,0.017595406098007815,0.06136144019536388,0.008902267645721322,0.005547289803181659,0.007447670892940659,0.024176527012004557,0.01203039145475252,0.028354109860709138,0.029930735000642392,0.03120905591494805,0.029073456871554066,0.0036673410815294977,0.09194476678613296,0.028607662081507557,0.023597894208888814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,0.044176921742841296,0.04861220769302155,0.051963701403040935,0.0470725011723989,0.05495921458649705,0.059781394863148866,0.05964423032694049,0.08513247368525342,0.00842758333519326,0.033417781349457804,0.0361336223155958,0.03095783033511154,0.017068846044517152,0.05860938171474604,0.009023484852651791,0.005044372741984075,0.007589911372071943,0.0259072332465603,0.011377084190692641,0.026832972451370736,0.02903212063071761,0.03092797683365989,0.02588634738299536,0.003845110240516541,0.08551696908377267,0.026378878677536355,0.020293248915199,0.056386598812506655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3712,0.04341342680269303,0.046138659020813474,0.05074289031013587,0.04490697079613747,0.051227586534388844,0.056524246986079094,0.05611965793840202,0.08310670607091156,0.009053290958730874,0.03256543151517286,0.03413118720978214,0.03033227110715452,0.014928986991712313,0.05615303771830963,0.009204706692632557,0.005161338171414315,0.006715050743766279,0.023107776535740074,0.010836933503629558,0.025624724460812043,0.02811257879015211,0.02861551317782477,0.02530599348062522,0.004056390802253204,0.07961383403656039,0.02494351401619194,0.019003445228545607,0.05032640970274603,0.05002744069668234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3840,0.04595236556662976,0.049900801406200644,0.04866222089207179,0.05766133510327037,0.055012675671318546,0.0520391611795316,0.05514053011401906,0.06336353011883207,0.019289549267091068,0.0037168482683656457,0.05122342918480378,0.019083221684099923,0.010363127307657309,0.0526009838426135,0.035264746476376285,0.012390178142968214,0.023343640715691078,0.00357906497068649,0.0024084697649571934,0.004140537291252357,0.003794896632927358,0.04862461254616655,0.02686464371472766,0.0035367877493668798,0.051773098567545084,0.02488539150793125,0.026082447671394515,0.044349810155681554,0.0028776893955371964,0.10207420509028543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3968,0.04402334885548286,0.05136564115582776,0.038327038298922964,0.05640733269241242,0.05372987858698768,0.04653057891221593,0.046243284056036185,0.0623074712581986,0.019637768809332518,0.0042075496671521535,0.0450372312601343,0.018534781740856498,0.009107004017513833,0.05321514580155367,0.03417514739320976,0.012290364823638962,0.02110429629517855,0.003797723520323751,0.002970720829720472,0.0045171693117103985,0.0042573677867008735,0.04493353798712003,0.025268028184662554,0.0038785310665493027,0.04582973123918909,0.025732368380440643,0.02410476334194684,0.0393275883516573,0.0028169763006320684,0.09147938059514744,0.0648422494795441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4096,0.04348463519194084,0.04413202395087745,0.04022662685369675,0.053169979755321374,0.05026657092090161,0.05127408074010989,0.04379049369855667,0.05266408372209411,0.016314144419533765,0.004881327654138606,0.05025167829610562,0.024345939159011152,0.004150242731246489,0.052664813855964325,0.028336745226407396,0.013533451174167422,0.02113064486583189,0.004229679094096047,0.0035062956974799397,0.00500612896148056,0.004626501680403197,0.042154472003986795,0.029069466846398485,0.005288308140522013,0.032867508269688414,0.022911126179400998,0.02078335690001373,0.03288604245704753,0.0027641166309952123,0.07458953213595725,0.04889115500227553,0.07580882778434883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4224,0.041870963515719894,0.03746858295721492,0.038406949246597766,0.051860686167457565,0.04329998362717101,0.05110644528683557,0.0430251842189041,0.045123771382176006,0.016122783982360275,0.005656844157156738,0.05602153110158348,0.0374940731738558,0.004147300291695683,0.048729145456116944,0.027070081086804504,0.01674713998685308,0.027011456823036115,0.0053853425970208785,0.003983977651923843,0.006182200313440543,0.006248229695103094,0.03900381590173991,0.030071773850602265,0.01600330497388691,0.006311461824640601,0.027797868707031447,0.020546184314616002,0.0300531365350992,0.0025973036011212253,0.066981635702135,0.04017219497293662,0.04692861840804882,0.060570028489114566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
