,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
128,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0.7109495026250039,0.2890504973749961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,0.9999999171579599,3.5095122667184413e-15,8.284203664881322e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,0.9999998795264691,7.224342112933321e-15,1.20473523637346e-07,4.013159101852885e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,0.9999998232138435,1.5695669962223908e-14,1.7678614053844011e-07,4.4505716534652244e-17,3.577017787660032e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,0.9999974185013214,4.472792907028608e-12,2.5814942055244953e-06,1.4213638419459453e-16,8.443993814083834e-17,7.902554474728388e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,0.99999489353815,1.8995505560742065e-11,5.106442854038498e-06,2.621637092299786e-16,1.2421748955518052e-16,8.815304306088585e-18,1.5584402137452428e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,0.9999634696222133,1.230589708452311e-09,3.6528933822484075e-05,3.530318893104172e-14,3.1289216067327074e-16,1.1373045258124143e-17,1.5735339452029736e-17,2.133390876406322e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,0.9998787264596516,1.560929272058332e-08,0.00012125469150386098,1.6411314446760104e-12,4.155243878346432e-15,1.5680916056907045e-17,1.408973966197301e-16,3.237906419374322e-09,4.540187163109205e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,0.9996882045430235,1.1498788869145555e-07,0.0003116522002801171,3.454587688721278e-11,1.2771649473651424e-13,2.257186894726946e-17,3.748302290900748e-15,2.8234130264993664e-08,8.341232782333952e-17,7.378112884361383e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
